time,obj,status,MM_Var,MM_loss,NSW,Total_Var,n,gap,d,rank,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2,Loss3,Var3,Best3,Loss4,Var4,Best4
11.26296877861023,3.8871464758111,optimal,3.8871464749475955,-7.987880907741464,3.9204518107483475,19.6035894178729,59,4.613501822329391e-09,1,1,-7.987880907741464,3.8871464750616083,11.875027382803072,-0.8507352922059015,3.8871464749772118,4.737881767183113,-0.26453168168297747,3.8871464749475955,4.151678156630573,-2.6230781139224586,4.003128300524901,6.62620641444736,-0.5004626606689961,3.939021692361585,4.439484353030581
15.566399335861206,6.692249230057881,optimal,6.692249225501081,-9.418786907399094,6.7160129880353,33.580911778372794,59,2.1414392156427442e-08,2,3,-9.418786907399094,6.811914874757173,16.230701782156267,-1.8689420528406968,6.692249226075096,8.561191278915793,-0.5932657882631389,6.692249225501081,7.28551501376422,-4.992137530751215,6.692249226456866,11.684386757208081,-0.3034111623865181,6.692249225582581,6.9956603879690995
10.257742881774902,9.214760407291894,optimal,9.214760401673907,-9.950982345272152,9.331822404285317,46.66964900424245,59,2.1278700113700275e-08,3,3,-9.950982345272152,9.729633461883658,19.68061580715581,-2.478121321028432,9.214760402333035,11.692881723361467,-1.067665500982372,9.214760402559008,10.28242590354138,-7.348388404048304,9.295734335792847,16.64412273984115,-0.08488755465472764,9.214760401673907,9.299647956328634
10.503993272781372,11.251077933012452,optimal,11.251077929862086,-11.415708444950896,11.296759174085922,56.48467236116618,59,1.0659337032802312e-08,4,4,-11.415708444950896,11.411012185088955,22.82672063003985,-3.2672136990891936,11.251077930852047,14.51829162994124,-1.8426431115868027,11.251077930416699,13.093721042003502,-9.915754216151791,11.320426384946403,21.236180601098194,-0.055582132244696325,11.251077929862086,11.306660062106783
9.489879608154297,12.968493234576968,optimal,12.96849322931843,-12.333542413401716,13.133596788986644,65.67715261520497,59,1.5905335800665454e-08,5,5,-12.178839201233915,13.516200610396067,25.695039811629982,-4.167943285275854,12.968493231035602,17.136436516311456,-2.8263406596191523,12.968493229996394,15.794833889615546,-12.333542413401716,13.255472314458487,25.589014727860203,-0.06875284131352366,12.96849322931843,13.037246070631953
11.890697956085205,14.475009279989607,optimal,14.475009278872413,-15.091257231654385,14.640654751773729,73.21740543000311,59,3.0690160674351535e-09,6,6,-13.0193623967332,15.21930811492831,28.23867051166151,-5.16609888733781,14.475009279177605,19.641108166515416,-3.7043155956640774,14.475009279056156,18.179324874720233,-15.091257231654385,14.57306947796862,29.664326709623005,-0.09265085859169275,14.475009278872413,14.567660137464106
12.150209188461304,15.93857920750812,optimal,15.938579202703925,-17.405842864599173,16.065900506684915,80.33975484432688,59,1.2647917968088251e-08,7,7,-13.953407240121063,16.58543802194302,30.538845262064083,-6.137097369484945,15.938579206077957,22.075676575562902,-4.300863535454246,15.938579203571377,20.239442739025623,-17.405842864599173,15.93857921003059,33.34442207462976,-0.10318947685995106,15.938579202703925,16.041768679563877
12.207666397094727,17.30873952627146,optimal,17.308739520874468,-19.339509407674125,17.445165111757444,87.23666356182859,59,1.3437369094883962e-08,8,8,-14.781109926637136,18.001705463651305,32.78281539028844,-7.172193819350866,17.308739522302417,24.480933341653284,-4.97099512221093,17.30873952141281,22.27973464362374,-19.339509407674125,17.308739533587588,36.64824894126171,-0.14440664778050305,17.308739520874468,17.45314616865497
11.783539772033691,18.643646817646754,optimal,18.643646816211906,-21.038203057190895,18.788254179702022,93.9525745427338,59,3.5788516531911656e-09,9,9,-15.560382929916017,19.377987269768425,34.93837019968444,-8.105570644940627,18.643646816586482,26.74921746152711,-5.509138389203272,18.643646816388625,24.152785205591897,-21.038203057190895,18.64364682377835,39.681849880969246,-0.11623572501269308,18.643646816211906,18.7598825412246
13.552632570266724,19.928527380138057,optimal,19.92852737879036,-22.108067986284937,20.044832509360717,100.230989973985,59,3.0133214461081112e-09,10,10,-16.451155555183906,20.516880433427556,36.96803598861146,-8.889902554181027,19.928527379870935,28.818429934051963,-6.052624684980959,19.928527378957632,25.98115206393859,-22.108067986284937,19.92852740293852,42.03659538922346,-0.11383377887360879,19.92852737879036,20.04236115766397
11.200485229492188,21.176913322509385,optimal,21.17691331925038,-23.087958749620658,21.31871860270778,106.60315240498298,59,7.387948216531936e-09,11,11,-16.99987824734045,21.895499100137155,38.895377347477606,-9.55277274120937,21.176913333153276,30.729686074362647,-6.572025161362216,21.176913319639965,27.74893848100218,-23.087958749620658,21.176913332802204,44.26487208242286,-0.1181615882193725,21.17691331925038,21.295074907469754
11.993501901626587,22.36187482081443,optimal,22.36187481944591,-24.010930450923254,22.56831506889055,112.8608102397749,59,2.8861937286975324e-09,12,12,-17.197721881823874,23.413310956168225,40.6110328379921,-10.110725353518294,22.36187482416287,32.472600177681166,-7.1100568144336975,22.36187481961172,29.47193163404542,-24.010930450923254,22.361874820386156,46.37280527130941,-0.1179450835267346,22.36187481944591,22.479819902972643
12.66313123703003,23.533480366310755,optimal,23.53348036324023,-24.84686571748184,23.76815679295263,118.86442048503497,59,6.601434244360132e-09,13,13,-17.54003859637038,24.73049902068813,42.27053761705851,-10.622159902140346,23.533480368263362,34.15564027040371,-7.611125454388176,23.533480363673753,31.14460581806193,-24.84686571748184,23.533480369169496,48.380346086651336,-0.11205519704820688,23.53348036324023,23.645535560288437
