time,obj,status,MM_Var,MM_loss,NSW,Total_Var,n,gap,d,rank,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2,Loss3,Var3,Best3,Loss4,Var4,Best4,Loss5,Var5,Best5
0.14550161361694336,4.867568940970523,optimal,4.867568940584519,-2.762567136465819,5.663207351193913,34.094968680956214,23,2.5643708058333788e-09,1,1,-0.849583438272365,6.171377587532259,7.020961025804624,-0.23859949699233862,5.547643234759128,5.786242731751466,-2.347956682696127,5.408792167111935,7.756748849808062,-0.5864513332914267,6.021716782668861,6.608168115960288,4.983116141943356e-10,4.867568940584519,4.867568940086207,-2.762567136465819,6.07786996829951,8.840437104765329
0.1289973258972168,8.404614703429578,optimal,8.404614702567454,-1.9253664933346197,9.788186176672609,58.9301914873519,23,4.606363338514649e-09,2,2,-0.446570616464502,10.973707549392664,11.420278165857166,-0.5237523420856061,9.598257519730714,10.12200986181632,-1.9253664933346197,9.505572518202891,11.430939011537511,-0.18542997642171422,10.355553086596103,10.540983063017817,2.0371970776977832e-10,8.404614702567454,8.404614702363734,-0.9405716938434772,10.092486110862078,11.033057804705555
0.14100074768066406,10.315458188790355,optimal,10.315458188540937,-2.3278984760875083,11.421638958944659,68.69327841647403,23,1.0261021142630088e-09,3,3,-0.5018108859499275,12.436464547606938,12.938275433556866,-1.0205995639998928,10.704375373483044,11.724974937482937,-2.3278984760875083,11.31581790914266,13.643716385230169,-0.32662239055976805,12.392508252162415,12.719130642722183,-4.1659120597614674e-11,10.315458188540937,10.315458188582596,-0.8880820811136907,11.528654145538034,12.416736226651725
0.4445066452026367,11.756997464447096,optimal,11.756997463627616,-2.784072138263314,12.810671657945058,76.97949789422812,23,2.8524823346861274e-09,4,4,-0.5546603478282996,13.794356814971579,14.349017162799878,-0.4019066434081058,12.28936346125709,12.691270104665195,-2.784072138263314,12.767867106589003,15.551939244852317,-0.4056253775882457,13.58779839354168,13.993423771129926,-2.908731033812728e-10,11.756997463627616,11.75699746391849,-0.8870587946298834,12.783114654241142,13.670173448871026
0.3720250129699707,12.711458207831864,optimal,12.711458207490832,-3.8183735755364943,13.519118966489929,81.18512977953743,23,9.443044279862425e-10,5,5,-1.0438666434731942,14.320376884519465,15.36424352799266,-0.4015490741569234,13.078793844841485,13.480342918998408,-3.8183735755364943,13.392673891740877,17.21104746727737,-0.8858881347337508,14.155195844912834,15.041083979646585,-1.2117951087020629e-10,12.711458207490832,12.711458207612012,-1.2620429163463598,13.526631106031946,14.788674022378306
0.5004425048828125,13.486240155139132,optimal,13.486240153988735,-3.2486343694293236,14.609576914365856,87.77840527326877,23,3.229587312304805e-09,6,6,-0.8117320409383773,15.532335668232442,16.34406770917082,-0.3544216949729595,13.891991636283164,14.246413331256123,-3.2486343694293236,15.248452811859122,18.497087181288446,-0.6600184062371035,15.2500799431421,15.910098349379204,-5.362537081055052e-10,13.486240153988735,13.486240154524989,-1.3848098035578271,14.369305059763207,15.754114863321034
0.1550006866455078,14.122557956245847,optimal,14.122557954307403,-3.5067518772313484,15.330415046434272,92.12080661613486,23,5.1008415054528734e-09,7,7,-0.8570309023027924,16.328330318314787,17.18536122061758,-0.19867878512417114,14.656605743854378,14.85528452897855,-3.5067518772313484,16.199118248319454,19.705870125550803,-0.7588088078354325,15.928722235160077,16.68753104299551,-1.053120257665796e-09,14.122557954307403,14.122557955360524,-1.7318529777530198,14.885472116178741,16.61732509393176
0.15350079536437988,14.688164781027961,optimal,14.688164779880132,-3.209129248292818,16.036394494699486,96.41128333644954,23,2.963900755373092e-09,8,8,-0.8554797851476188,17.08852933522777,17.944009120375387,-0.27213649212322544,15.145060025637132,15.417196517760358,-3.209129248292818,17.355096654875474,20.564225903168293,-0.6967947462261108,16.669734161885327,17.366528908111437,-6.090221660315365e-10,14.688164779880132,14.688164780489155,-1.8109834766420896,15.464698378943716,17.275681855585805
0.1640002727508545,15.155829194022182,optimal,15.155829192020946,-2.8884300243303045,16.729563718435703,100.63994711786418,23,5.1904801623452104e-09,9,9,-0.7904847536297517,17.863375583673434,18.653860337303186,-0.26327093421879155,15.66679760294468,15.930068537163471,-2.8884300243303045,18.464097755420624,21.35252777975093,-0.6057425023742944,17.42179037474423,18.027532877118524,-1.2904948221148516e-09,15.155829192020946,15.15582919331144,-1.7497912692435449,16.06805660906027,17.817847878303816
0.1400001049041748,15.607551123490717,optimal,15.60755112292764,-3.052236334977831,17.297524014010843,104.06892122159005,23,1.4482718810787201e-09,10,10,-0.7340186982796162,18.621833215833615,19.35585191411323,-0.12553624251601292,16.2757496503621,16.401285892878114,-3.052236334977831,19.027970027945067,22.080206362922898,-0.6195718419939915,18.038833792513163,18.658405634507155,-3.6929570512711507e-10,15.60755112292764,15.607551123296936,-1.8384987636014998,16.496983412008447,18.335482175609947
0.1405012607574463,16.024193393859335,optimal,16.02419339172266,-3.109322165366759,17.71055884792723,106.55238106400213,23,5.31045516135085e-09,11,11,-0.8945546996754956,19.09034016169923,19.984894861374727,-0.11835354784663821,16.69198607907775,16.81033962692439,-3.109322165366759,19.46368726188844,22.573009427255197,-0.776651755739497,18.478649516000274,19.25530127173977,-1.4290364447333559e-09,16.02419339172266,16.024193393151698,-1.958153794277294,16.80352465361377,18.761678447891065
