MM_Var,MM_loss,NSW,Total_Var,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2,d
5.03588585795146,-0.3649558740500414,6.494380158936279,19.839784590302745,-0.001789666966770298,6.772205797573699,6.773995464540469,-0.16482824948592256,5.03588585795146,5.200714107437382,-0.3649558740500414,8.031692934777587,8.396648808827628,1
8.93878081318245,-0.42488580200737225,10.044565869091434,30.239038713004824,-0.0071070859635895545,10.875491611286023,10.882598697249612,-0.10581041113242051,8.93878081318245,9.044591224314871,-0.42488580200737225,10.424766288536352,10.849652090543724,2
10.303415605904513,-0.7249439045564365,11.604623055560463,34.94898380785135,-0.013713324263081361,12.74319339854933,12.756906722812412,-0.2692115171619154,10.303415605904513,10.572627123066429,-0.7249439045564365,11.902374803397503,12.62731870795394,3
11.540360142473986,-0.828562519225672,12.877679120458488,38.75662240310511,-0.12817379857846056,13.967826609851866,14.096000408430326,-0.4886215547560937,11.540360142473986,12.02898169723008,-0.828562519225672,13.24843565077926,14.076998170004932,4
12.303348159305258,-1.1509788091466007,13.807370700662636,41.56538969124056,-0.19642593381002094,14.974639777538275,15.171065711348296,-0.7619792300718373,12.303348159305258,13.065327389377096,-1.1509788091466007,14.287401754397028,15.438380563543628,5
13.28514852786006,-1.2559851085298277,14.803523888097896,44.54643678698272,-0.18810781412124555,15.986245827702895,16.17435364182414,-0.6454951272492124,13.28514852786006,13.930643655109272,-1.2559851085298277,15.275042431419763,16.53102753994959,6
13.712958363266111,-1.3206475326489375,15.47270337792745,46.587067974275044,-0.4315537225569557,16.66091785821856,17.092471580775516,-1.0153506798707106,13.712958363266111,14.728309043136822,-1.3206475326489375,16.213191752790372,17.53383928543931,7
14.216672841609794,-1.1917314931545828,16.379490092729647,49.37932120331412,-0.27713998869715084,17.581729019591794,17.858869008288945,-1.1917314931545828,14.216672841609794,15.408404334764377,-0.9210108987695023,17.58091934211253,18.501930240882032,8
14.747611524424915,-1.1920296895047713,17.027016126133468,51.338879838117165,-0.2605658296063069,18.323144459805327,18.583710289411634,-1.1920296895047713,14.747611524424915,15.939641213929686,-0.945852711433588,18.268123853886923,19.21397656532051,9
15.235344698094334,-1.225361966254674,17.71414679803558,53.43732900720711,-0.227780834050737,19.047400075023862,19.2751809090746,-1.225361966254674,15.235344698094334,16.460706664349008,-0.6828851276739201,19.15458423408892,19.83746936176284,10
15.88232118693136,-1.0583621288349825,18.320955543927884,55.23690863720807,-0.26902682505480513,19.694924518869083,19.96395134392389,-1.0583621288349825,15.88232118693136,16.940683315766343,-0.7437621492733868,19.659662931407624,20.40342508068101,11
16.305454775036857,-1.0471652122079966,18.894021951865227,56.98266810780282,-0.19067260249435236,20.382948957926875,20.573621560421227,-1.0471652122079966,16.305454775036857,17.352619987244854,-0.6413602693486524,20.29426437483909,20.935624644187744,12
17.082067834680544,-0.6443395223581696,19.55760875604379,58.93575885010586,-0.15646402559544725,20.899964250620116,21.056428276215563,-0.6443395223581696,17.082067834680544,17.726407357038713,-0.41661157328262277,20.953726764805204,21.370338338087826,13
17.572081794070627,-0.4473195839777482,20.033332900820902,60.35281374951752,-0.06875954615436441,21.385466693674385,21.45422623982875,-0.4473195839777482,17.572081794070627,18.019401378048375,-0.3339906830142674,21.395265261772504,21.72925594478677,14
17.98383057235952,-0.3961107510428086,20.399426839696257,61.43657867006162,-0.0009745102148634999,21.781648597361468,21.78262310757633,-0.307228692708545,17.98383057235952,18.291059265068064,-0.3961107510428086,21.671099500340627,22.067210251383436,15
18.26929640942069,-0.471882500942435,20.637434451868245,62.138295812587316,-0.000891873821085909,22.040631202694982,22.041523076516068,-0.2355263141105155,18.26929640942069,18.504822723531205,-0.471882500942435,21.828368200471644,22.30025070141408,16
18.488837603598505,-0.21567549771741312,20.96185370816154,63.12843443424313,-0.00030072267780312245,22.284496775323525,22.28479749800133,-0.21567549771741312,18.488837603598505,18.704513101315918,-0.09833872637531016,22.355100055321106,22.453438781696416,17
18.699306094782102,-0.1417604001879056,21.136651190134216,63.64328559173562,-0.0002440961165000033,22.474519204970562,22.474763301087062,-0.1417604001879056,18.699306094782102,18.841066494970008,-0.10853094872510027,22.46946029198296,22.57799124070806,18
18.838106470417173,-0.12043167891027551,21.252853904964805,63.98601050182147,-0.00018432315097527407,22.602027008486,22.602211331636976,-0.05313941807963829,18.838106470417173,18.89124588849681,-0.12043167891027551,22.545877022918294,22.66630870182857,19
18.888375260983544,-0.04780409520610718,21.343674370555153,64.2654581952637,-0.0001377486140299311,22.673171712152147,22.673309460766177,-0.03510215702807784,18.888375260983544,18.923477418011622,-0.04780409520610718,22.70391122212802,22.751715317334128,20
18.921251148846366,-0.02082351522556891,21.398370549236002,64.43334788490226,-0.00011941551432670394,22.714679382638415,22.714798798152742,-0.02082351522556891,18.921251148846366,18.942074664071935,-0.020377373881654393,22.797417353417476,22.81779472729913,21
18.94112014178441,-0.02388542811863914,21.429790539554574,64.5296110243158,-4.7040203135395586e-05,22.741551096565175,22.74159813676831,-0.013596549023471738,18.94112014178441,18.95471669080788,-0.02388542811863914,22.846939785966214,22.870825214084853,22
