time,obj,status,MM_Var,MM_loss,NSW,Total_Var,n,gap,d,rank,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2
0.1405012607574463,5.200714112854423,optimal,5.20071411008012,-1.7460034712507966,6.050133117163362,18.254131217762584,23,1.8577341835651324e-08,1,1,-0.3712236944348337,6.402771770105636,6.773995464540469,2.6427375843240952e-09,5.20071411008012,5.200714107437382,-1.7460034712507966,6.650645337576831,8.396648808827628
0.12700104713439941,9.044591225044712,optimal,9.044591224443584,-0.5915197176446281,9.996528108542112,30.069614983949222,23,2.7085707740440023e-09,2,2,-0.11570731064307083,10.766891386606542,10.882598697249612,1.2871304022610275e-10,9.044591224443584,9.044591224314871,-0.5915197176446281,10.258132372899096,10.849652090543724
0.12349915504455566,10.572627124091808,optimal,10.572627122958497,-0.9877954103567248,11.432417549471177,34.35431525137855,23,3.8872747416302675e-09,3,3,-0.6147418919895689,12.142164830822843,12.756906722812412,-1.0793144156195922e-10,10.572627122958497,10.572627123066429,-0.9877954103567248,11.639523297597215,12.62731870795394
0.11500120162963867,12.028981699996908,optimal,12.02898169540315,-1.2473901330717503,12.845351244747855,38.59254726682189,23,1.4002359843967438e-08,4,4,-0.36204287394476786,13.733957534485558,14.096000408430326,-1.8269297186179756e-09,12.02898169540315,12.02898169723008,-1.2473901330717503,12.829608036933182,14.076998170004932
0.12850046157836914,13.065327389650971,optimal,13.065327389155097,-1.6604466715500905,13.832805534728017,41.546954108063716,23,1.311105581207114e-09,5,5,-0.4673728844332157,14.70369282691508,15.171065711348296,-2.219984196472069e-10,13.065327389155097,13.065327389377096,-1.6604466715500905,13.777933891993538,15.438380563543628
0.13850069046020508,13.930643655783513,optimal,13.930643654666754,-2.0549949960822342,14.57408755015146,43.757206682114386,23,2.6844375394229965e-09,6,6,-0.8238231582438651,15.350530483580275,16.17435364182414,-4.425171340471934e-10,13.930643654666754,13.930643655109272,-2.0549949960822342,14.476032543867356,16.53102753994959
0.3220069408416748,14.728309043666705,optimal,14.728309042738424,-2.2261729969136077,15.399252026188329,46.23306572789514,23,2.0942573009903363e-09,7,7,-0.895381184144501,16.197090396631015,17.092471580775516,-3.9839775922700937e-10,14.728309042738424,14.728309043136822,-2.2261729969136077,15.307666288525702,17.53383928543931
0.4349961280822754,15.408404335584112,optimal,15.408404333769441,-2.3791548430347618,16.19388545755707,48.62565282641398,23,3.943054889355424e-09,8,8,-0.764395913491672,17.094473094797273,17.858869008288945,-9.949356893912409e-10,15.408404333769441,15.408404334764377,-2.3791548430347618,16.12277539784727,18.501930240882032
0.4119839668273926,15.93964121564869,optimal,15.939641211646414,-2.1126459610532713,16.93794125735404,50.86777306719681,23,8.52460294741978e-09,9,9,-0.7569090381284802,17.826801251283154,18.583710289411634,-2.283272237946221e-09,15.939641211646414,15.939641213929686,-2.1126459610532713,17.10133060426724,19.21397656532051
0.42400074005126953,16.46070666514961,optimal,16.46070666342346,-2.154928590874949,17.554976522438672,52.73017537228729,23,3.6136062586446747e-09,10,10,-0.688252971098656,18.586927937975943,19.2751809090746,-9.255494148874277e-10,16.46070666342346,16.460706664349008,-2.154928590874949,17.68254077088789,19.83746936176284
0.304980993270874,16.940683317424906,optimal,16.94068331379787,-1.9453295686659473,18.228187593490272,54.768022171607775,23,7.528675728369562e-09,11,11,-0.5947079981290457,19.369243345794843,19.96395134392389,-1.9684733842950664e-09,16.94068331379787,16.940683315766343,-1.9453295686659473,18.458095512015063,20.40342508068101
0.1369776725769043,17.35261999001695,optimal,17.352619984438054,-2.1263843102635143,18.62760803477786,55.96504150082085,23,1.12417524776511e-08,12,12,-0.770440377962661,19.803181182458566,20.573621560421227,-2.806800125654263e-09,17.352619984438054,17.352619987244854,-2.1263843102635143,18.80924033392423,20.935624644187744
0.1554718017578125,17.726407358891002,optimal,17.726407354937493,-1.2894425180085207,19.43111797426699,58.41785204530368,23,8.132192013102048e-09,13,13,-0.4458794059286788,20.610548870286884,21.056428276215563,-2.101220530903447e-09,17.726407354937493,17.726407357038713,-1.2894425180085207,20.080895820079306,21.370338338087826
0.17100191116333008,18.019401381924272,optimal,18.01940137397225,-1.1386670999320714,19.851846404381156,59.695960657808804,23,1.610472526055719e-08,14,14,-0.3682558008468959,21.085970438981853,21.45422623982875,-4.076124326957142e-09,18.01940137397225,18.019401378048375,-1.1386670999320714,20.5905888448547,21.72925594478677
0.17800450325012207,18.291059267325274,optimal,18.291059262995947,-0.8556567208387094,20.309570477140543,61.094513873796444,23,8.77320200569166e-09,15,15,-0.19072202732056098,21.59190108025577,21.78262310757633,-2.0721167004467134e-09,18.291059262995947,18.291059265068064,-0.8556567208387094,21.211553530544727,22.067210251383436
0.17949819564819336,18.50482272619213,optimal,18.5048227212309,-0.8868427526243892,20.522399581544914,61.73114522505744,23,9.854982374451048e-09,16,16,-0.22860852147922017,21.812914555036848,22.041523076516068,-2.3003039473223907e-09,18.5048227212309,18.504822723531205,-0.8868427526243892,21.41340794878969,22.30025070141408
0.16547560691833496,18.704513102929532,optimal,18.704513099983867,-0.5637676798889757,20.82858210449172,62.66373410211736,23,5.8137102209011636e-09,17,17,-0.21524759767526902,22.06954990032606,22.28479749800133,-1.332050914015781e-09,18.704513099983867,18.704513101315918,-0.5637676798889757,21.88967110180744,22.453438781696416
