MM_Var,MM_Loss,NSW,Total_Var,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2,Loss3,Var3,Best3,d
4.898423725920857,-0.1368466599310727,6.027378570566046,24.327187630491494,-0.039908216081535386,6.981052809723089,7.020961025804624,-0.04136044311447673,5.848510716391026,5.889871159505502,-0.008967737503764894,6.599200378456523,6.608168115960288,-0.1368466599310727,4.898423725920857,5.03527038585193,1
8.540924132769906,-0.2665916074073902,10.0330438998695,40.34886708864194,-0.04100947397373034,11.379268691883436,11.420278165857166,-0.2665916074073902,9.94204260191203,10.20863420931942,-0.05435140094125579,10.486631662076562,10.540983063017817,-0.1534216020337773,8.540924132769906,8.694345734803683,2
10.19738412268961,-0.9168199812145534,11.578854260464913,46.53014611712361,-0.18709922825637726,12.751176205300489,12.938275433556866,-0.9168199812145534,10.904165748346346,11.820985729560899,-0.041710601935015745,12.677420040787167,12.719130642722183,-0.36122406854085654,10.19738412268961,10.558608191230466,3
11.403394039215538,-0.6183458733944676,12.830277947799834,51.509671081104784,-0.3598300795342695,13.989187083265609,14.349017162799878,-0.5587648378999219,12.249088108397697,12.807852946297619,-0.1254219209039924,13.868001850225934,13.993423771129926,-0.6183458733944676,11.403394039215538,12.021739912610006,4
12.191048015089539,-0.768920225306875,13.607117241094139,54.62394960609093,-0.4937878998992016,14.870455628093458,15.36424352799266,-0.7293940378378405,12.876363267797474,13.605757305635315,-0.3550012845361259,14.686082695110459,15.041083979646585,-0.768920225306875,12.191048015089539,12.959968240396414,5
12.407894591166688,-1.337355625272174,13.823485749892697,55.491870578732836,-1.2275367303751583,15.11653097879566,16.34406770917082,-1.3258513948112167,13.053628184645056,14.379479579456273,-0.9962815252537744,14.91381682412543,15.910098349379204,-1.337355625272174,12.407894591166688,13.745250216438862,6
13.089299391595745,-1.3600400412628524,14.498865791503857,58.17998137898737,-1.3600400412628524,15.825321179354727,17.18536122061758,-1.3190795254747787,13.750725809374538,15.069805334849317,-1.172896044333152,15.514634998662357,16.68753104299551,-1.28065972557161,13.089299391595745,14.369959117167355,7
13.631841233395441,-1.3308002768381648,15.246361920489417,61.22022390933787,-1.1159170943738737,16.828092026001514,17.944009120375387,-1.3308002768381648,14.378648539251259,15.709448816089424,-0.9848867974217868,16.38164211068965,17.366528908111437,-1.3072091058626114,13.631841233395441,14.939050339258053,8
14.135727994491733,-1.325202603254155,15.890675028072,63.82309849195076,-1.06771166836279,17.586148668940396,18.653860337303186,-1.325202603254155,14.989390577081203,16.314593180335358,-0.9157016256810948,17.11183125143743,18.027532877118524,-1.2976457933291297,14.135727994491733,15.433373787820862,9
14.604848497891746,-1.29268180481594,16.52054668776782,66.37529641672444,-0.9470422139666823,18.40880970014655,19.35585191411323,-1.233789668470628,15.590384665559103,16.82417433402973,-0.8871520813801155,17.77125355312704,18.658405634507155,-1.29268180481594,14.604848497891746,15.897530302707686,10
15.196059804369607,-1.1473276176794904,17.18000533470568,69.00526884678753,-0.9083794821205196,19.076515379254207,19.984894861374727,-0.9840515404929597,16.328517057086636,17.312568597579595,-0.8511246656627023,18.40417660607707,19.25530127173977,-1.1473276176794904,15.196059804369607,16.343387422049098,11
15.566496652895792,-1.1838443697041239,17.74832561968672,71.31713913704577,-0.693074483307047,19.783678199133636,20.476752682440683,-0.8495338028084092,16.887530938792985,17.737064741601394,-0.6554520830306032,19.07943334622336,19.734885429253964,-1.1838443697041239,15.566496652895792,16.750341022599915,12
16.37516243970895,-0.7748563089577445,18.383742279048796,73.80183528692382,-0.6130509391292662,20.271865787037296,20.884916726166562,-0.5756754384027616,17.55644352119792,18.13211895960068,-0.5269663656524308,19.59836353897964,20.12532990463207,-0.7748563089577445,16.37516243970895,17.150018748666696,13
16.97679309579061,-0.4508800647684019,18.916182997676188,75.91066800529546,-0.4186845718255867,20.79097639156726,21.209660963392846,-0.43545672699329785,18.08480669272094,18.520263419714237,-0.39498685480540985,20.05809182521665,20.45307868002206,-0.4508800647684019,16.97679309579061,17.427673160559014,14
17.378426394007022,-0.31434927109573607,19.316188404348058,77.5054714308597,-0.29379799404568985,21.197252784605304,21.491050778650994,-0.31434927109573607,18.48213862925658,18.796487900352314,-0.2563282071324977,20.447653622990806,20.703981830123304,-0.30779670624954036,17.378426394007022,17.686223100256562,15
17.654709905888012,-0.30783972579063246,19.58485172274957,78.57505477124657,-0.2916608649725738,21.467530643784414,21.759191508756988,-0.30783972579063246,18.753584498180448,19.06142422397108,-0.21806224873482094,20.699229723393696,20.917291972128517,-0.23615352495229303,17.654709905888012,17.890863430840305,16
17.86939461597153,-0.21206028891680972,19.837199255159938,79.58488821694164,-0.20208257655688655,21.754021672247838,21.956104248804724,-0.20870830784480532,19.046283517043108,19.254991824887913,-0.18660648702214644,20.915188411679154,21.1017948987013,-0.21206028891680972,17.86939461597153,18.08145490488834,17
18.074187558896604,-0.1403018621499328,20.034681570872937,80.37100955614576,-0.1376694613335907,21.95162084498788,22.08929030632147,-0.1403018621499328,19.24494368923054,19.38524555138047,-0.12469671587500031,21.100257463030754,21.224954178905755,-0.13915258603018898,18.074187558896604,18.213340144926793,18
18.208669262592938,-0.08317299415382706,20.166140800415455,80.89477217974272,-0.08317299415382706,22.08544567821754,22.168618672371366,-0.07231134793217464,19.37702195294898,19.449333300881154,-0.06586128824768167,21.223635285983256,21.289496574230938,-0.05909714597312998,18.208669262592938,18.267766408566068,19
18.264476955399847,-0.046455650583656194,20.232337766227346,81.16114189500054,-0.046455650583656194,22.165823903361236,22.212279553944892,-0.04476721648804016,19.442098263658117,19.486865480146157,-0.04051771406341942,21.288742772581344,21.329260486644763,-0.03897559726318178,18.264476955399847,18.30345255266303,20
18.301334044409614,-0.03172230704122825,20.272409271777253,81.32167171427633,-0.03172230704122825,22.21004598527847,22.241768292319698,-0.0263437637527133,19.48181627747181,19.508160041224524,-0.02563027770149162,21.32847540711644,21.35410568481793,-0.022148703071511733,18.301334044409614,18.323482747481126,21
18.321946051141346,-0.02413362378112538,20.297347888432206,81.42202312888003,-0.02413362378112538,22.239771412948492,22.263905036729618,-0.019252019859578695,19.506824263813584,19.526076283673163,-0.020138410633283144,21.353481400976616,21.3736198116099,-0.016403688635694635,18.321946051141346,18.33834973977704,22
