time,obj,status,MM_Var,MM_loss,NSW,Total_Var,n,gap,d,rank,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2,Loss3,Var3,Best3
0.1784970760345459,-0.08356697799769208,optimal,4.951703408055181,-0.08356697779674871,6.0342983535910495,24.33652669545918,23,5.513848273199649e-09,1,1,-0.08356697768586763,6.937394048118756,7.020961025804624,-0.03682406600645205,5.85304709349905,5.889871159505502,-0.013785970174093443,6.594382145786194,6.608168115960288,-0.08356697779674871,4.951703408055181,5.03527038585193
0.14400124549865723,-0.09917824197192762,optimal,8.604383671616295,-0.09917824117854401,10.080909015651326,40.52604220141714,23,3.7892813756515925e-09,2,2,-0.04988042605468834,11.370397739802478,11.420278165857166,-0.09917824116032214,10.109455968159098,10.20863420931942,-0.09917824117854401,10.441804821839273,10.540983063017817,-0.08996206318738764,8.604383671616295,8.694345734803683
0.14100408554077148,-0.47415609776668244,optimal,10.201062755506449,-0.4741560977466843,11.588655973159785,46.5177687870188,23,2.0087205761445515e-09,3,3,-0.21337357883606067,12.724901854720805,12.938275433556866,-0.4741560977448458,11.346829631816053,11.820985729560899,-0.4741560977466843,12.244974544975499,12.719130642722183,-0.35754543572401687,10.201062755506449,10.558608191230466
0.13499760627746582,-0.22617816046327333,optimal,11.795561752662913,-0.22617815997134905,13.050176690335286,52.338494505585174,23,1.2678793985877463e-09,4,4,-0.22617815997134905,14.12283900282853,14.349017162799878,-0.22617815975428712,12.581674786543331,12.807852946297619,-0.15500480757952317,13.838418963550403,13.993423771129926,-0.2261781599470929,11.795561752662913,12.021739912610006
0.14949989318847656,-0.21513028648736468,optimal,12.744837954452525,-0.21513028601792428,13.992208586542326,56.11053190989888,23,1.0340113280018176e-09,5,5,-0.21513028595462558,15.149113242038034,15.36424352799266,-0.21513028601792428,13.39062701961739,13.605757305635315,-0.21513028585565586,14.825953693790929,15.041083979646585,-0.21513028594388928,12.744837954452525,12.959968240396414
0.18002533912658691,-0.30290448813725546,optimal,13.442345730548606,-0.30290448589025587,14.753096609192,59.16727791205331,23,4.337775281687541e-09,6,6,-0.3029044858363683,16.04116322333445,16.34406770917082,-0.30290448548502624,14.076575093971247,14.379479579456273,-0.30290448518020696,15.607193864198997,15.910098349379204,-0.30290448589025587,13.442345730548606,13.745250216438862
0.1530001163482666,-0.31778010267168766,optimal,14.052179015203189,-0.31778010196498485,15.467586374604318,62.04153630786992,23,1.2114177065167653e-09,7,7,-0.31778010196498485,16.867581118652595,17.18536122061758,-0.31778010193839634,14.75202523291092,15.069805334849317,-0.3177801018922928,16.369750941103216,16.68753104299551,-0.31778010196416595,14.052179015203189,14.369959117167355
0.16600322723388672,-0.30998908138768294,optimal,14.629061260223782,-0.3099890790661384,16.133962808762575,64.71908086825107,23,3.774846780689279e-09,8,9,-0.3099890790661384,17.63402004130925,17.944009120375387,-0.3099890784211521,15.399459737668272,15.709448816089424,-0.30998907906166906,17.05653982904977,17.366528908111437,-0.30998907903427053,14.629061260223782,14.939050339258053
0.16050052642822266,-0.2795128509000582,optimal,15.15386093830142,-0.2795128495494019,16.77795666101432,67.31130878511807,23,2.0938261278798032e-09,9,9,-0.2795128495494019,18.374347487753784,18.653860337303186,-0.2795128488839502,16.035080331451407,16.314593180335358,-0.2795128495070678,17.748020027611457,18.027532877118524,-0.2795128495194419,15.15386093830142,15.433373787820862
0.14350056648254395,-0.2341055438701871,optimal,15.66342476155581,-0.2341055413001456,17.40389926003002,69.83521049997097,23,3.962954045805301e-09,10,10,-0.2341055413001456,19.121746372813085,19.35585191411323,-0.19843506195948635,16.625739272070245,16.82417433402973,-0.23410554097531389,18.42430009353184,18.658405634507155,-0.23410554115187665,15.66342476155581,15.897530302707686
0.16902565956115723,-0.1960341399348407,optimal,16.14735328302492,-0.19603413906188294,17.987854174446593,72.1860043997179,23,1.2262285693413087e-09,11,11,-0.1960341390298126,19.788860722344914,19.984894861374727,-0.1220453359094158,17.19052326167018,17.312568597579595,-0.19603413906188294,19.05926713267789,19.25530127173977,-0.196034139024178,16.14735328302492,16.343387422049098
0.1770005226135254,-0.1496291238617587,optimal,16.60071190334027,-0.14962911925964661,18.48237693276197,74.16937932164586,23,6.627434378097763e-09,12,12,-0.14962911699476678,20.327123565445916,20.476752682440683,-0.0807771989046202,17.656287542696774,17.737064741601394,-0.1496291190910526,19.58525631016291,19.734885429253964,-0.14962911925964661,16.60071190334027,16.750341022599915
0.14501237869262695,-0.12479622060267825,optimal,17.02522253012734,-0.12479621853935541,18.90798084673238,75.86662347149814,23,2.8601444454966035e-09,13,13,-0.12479621846221178,20.76012050770435,20.884916726166562,-0.05137221350486243,18.08074674609582,18.13211895960068,-0.12479621706143718,20.000533687570634,20.12532990463207,-0.12479621853935541,17.02522253012734,17.150018748666696
0.17647743225097656,-0.026652564987642263,optimal,17.401020598793345,-0.02665256176566899,19.31719729817657,77.50406598045797,23,4.582492999746523e-09,14,14,-0.026652558669141513,21.183008404723704,21.209660963392846,-0.026652561292582533,18.493610858421654,18.520263419714237,-0.026652561502785943,20.426426118519274,20.45307868002206,-0.02665256176566899,17.401020598793345,17.427673160559014
0.17149996757507324,-0.02423947660524846,optimal,17.66198362605112,-0.0242394743759462,19.586963247268145,78.58078573545947,23,3.125488894250628e-09,15,15,-0.0242394743759462,21.466811304275048,21.491050778650994,-0.024239474361468893,18.772248425990846,18.796487900352314,-0.024239450980843458,20.67974237914246,20.703981830123304,-0.024239474205440814,17.66198362605112,17.686223100256562
0.142500638961792,-0.013759032207717754,optimal,17.877104404038082,-0.013759026802222962,19.835320206588293,79.57518843543176,23,7.576451769651314e-09,16,16,-0.01375902565441578,21.745432483102572,21.759191508756988,-0.013759025933250513,19.04766519803783,19.06142422397108,-0.012305621875249528,20.904986350253267,20.917291972128517,-0.013759026802222962,17.877104404038082,17.890863430840305
0.12750029563903809,-0.005128042258749188,optimal,18.07632686381211,-0.005128041379400372,20.035555248501417,80.37383371257359,23,1.4585899425885997e-09,17,17,-0.005128041379400372,21.950976207425324,21.956104248804724,-0.005128041374614867,19.249863783513298,19.254991824887913,-0.005128040878446427,21.096666857822854,21.1017948987013,-0.00512804107622955,18.07632686381211,18.08145490488834
0.13950061798095703,-0.003990026705016226,optimal,18.209350124821643,-0.003990022494249956,20.16676295776378,80.89687009428485,23,5.937851164267448e-09,18,18,-0.003990022469697152,22.085300283851772,22.08929030632147,-0.003990022494249956,19.38125552888622,19.38524555138047,-0.003990022180541786,21.220964156725213,21.224954178905755,-0.003990020105149483,18.209350124821643,18.213340144926793
0.16199755668640137,-0.003200036378702498,optimal,18.264566378061062,-0.0032000316561067166,20.2327384566798,81.16241483446927,23,7.156218071372992e-09,19,19,-0.0032000316561067166,22.16541864071526,22.168618672371366,-0.0032000315421356618,19.44613326933902,19.449333300881154,-0.003200027877003464,21.286296546353935,21.289496574230938,-0.0032000305050061684,18.264566378061062,18.267766408566068
0.14799904823303223,-0.002417767357957397,optimal,18.301558981911025,-0.002417765460716481,20.27272606653314,81.32271120634526,23,2.8567276746821174e-09,20,20,-0.0024177654376451585,22.209861788507247,22.212279553944892,-0.002417765460716481,19.48444771468544,19.486865480146157,-0.0024177654032158102,21.326842721241547,21.329260486644763,-0.0018935707520029155,18.301558981911025,18.30345255266303
