MM_Var,MM_loss,NSW,Total_Var,Loss0,Var0,Best0,Loss1,Var1,Best1,Loss2,Var2,Best2,Loss3,Var3,Best3,Loss4,Var4,Best4,Loss5,Var5,Best5,d
4.539089879564204,-0.4781626261855152,6.471387127731925,39.55136152048412,-0.039908216081535386,6.981052809723089,7.020961025804624,-0.05984700787871411,5.726395723872752,5.786242731751466,-0.4781626261855152,7.278586223622547,7.756748849808062,-0.008967737503764894,6.599200378456523,6.608168115960288,-0.32847906052200315,4.539089879564204,4.867568940086207,-0.4134005995203225,8.427036505245006,8.840437104765329,1
8.248162491656156,-1.5297505578002877,10.04381813862315,60.55889188434296,-0.04100947397373034,11.379268691883436,11.420278165857166,-0.261433009189739,9.860576852626581,10.12200986181632,-1.5297505578002877,9.901188453737223,11.430939011537511,-0.05435140094125579,10.486631662076562,10.540983063017817,-0.15645221070757742,8.248162491656156,8.404614702363734,-0.34999407234255386,10.683063732363001,11.033057804705555,2
9.948684891252606,-1.6885216937948169,11.604889419051428,69.90213281643754,-0.18709922825637726,12.751176205300489,12.938275433556866,-0.9939879271825518,10.730987010300385,11.724974937482937,-1.6885216937948169,11.955194691435352,13.643716385230169,-0.041710601935015745,12.677420040787167,12.719130642722183,-0.3667732973299902,9.948684891252606,10.315458188582596,-0.57806624929019,11.838669977361535,12.416736226651725,3
11.14021762199007,-2.080412551322304,12.885561595955627,77.56743783998532,-0.3598300795342695,13.989187083265609,14.349017162799878,-0.6571664790795264,12.034103625585669,12.691270104665195,-2.080412551322304,13.471526693530013,15.551939244852317,-0.1254219209039924,13.868001850225934,13.993423771129926,-0.6167798419284196,11.14021762199007,11.75699746391849,-0.6057724834830083,13.064400965388018,13.670173448871026,4
11.849559952708065,-2.4076667357056625,13.692235451337321,82.46725867926932,-0.4937878998992016,14.870455628093458,15.36424352799266,-0.949878383189958,12.53046453580845,13.480342918998408,-2.4076667357056625,14.803380731571709,17.21104746727737,-0.3550012845361259,14.686082695110459,15.041083979646585,-0.8618982549039469,11.849559952708065,12.711458207612012,-1.0613588864011216,13.727315135977184,14.788674022378306,5
12.0652856341462,-3.3047855925920313,13.929616592306614,83.90882489256947,-1.2275367303751583,15.11653097879566,16.34406770917082,-1.558910655775616,12.687502675480507,14.246413331256123,-3.3047855925920313,15.192301588696415,18.497087181288446,-0.9962815252537744,14.91381682412543,15.910098349379204,-1.420954520378789,12.0652856341462,13.486240154524989,-1.8207276719957601,13.933387191325274,15.754114863321034,6
12.440352854817254,-3.4318089738243707,14.56111659321886,87.79582130432242,-1.3600400412628524,15.825321179354727,17.18536122061758,-1.7861994832070849,13.069085045771464,14.85528452897855,-3.4318089738243707,16.274061151726432,19.705870125550803,-1.172896044333152,15.514634998662357,16.68753104299551,-1.6822051005432694,12.440352854817254,14.122557955360524,-1.9449590199415674,14.672366073990194,16.61732509393176,7
12.930363951975618,-2.3838135385499193,15.499811947187096,93.65467492917736,-1.1159170943738737,16.828092026001514,17.944009120375387,-1.824285945245757,13.5929105725146,15.417196517760358,-2.3838135385499193,18.180412364618373,20.564225903168293,-0.9848867974217868,16.38164211068965,17.366528908111437,-1.7578008285135365,12.930363951975618,14.688164780489155,-1.5344279522082154,15.74125390337759,17.275681855585805,8
13.422153612910908,-2.3017576830151008,16.160603466088443,97.67621724408058,-1.06771166836279,17.586148668940396,18.653860337303186,-1.748648678989408,14.181419858174063,15.930068537163471,-2.3017576830151008,19.050770096735828,21.35252777975093,-0.9157016256810948,17.11183125143743,18.027532877118524,-1.7336755804005328,13.422153612910908,15.15582919331144,-1.4939541224218615,16.323893755881954,17.817847878303816,9
13.871567119706034,-1.735984003590902,16.875358199597652,102.11225062359247,-0.9470422139666823,18.40880970014655,19.35585191411323,-1.6771607899553125,14.724125102922802,16.401285892878114,-1.718653433855554,20.361552929067344,22.080206362922898,-0.8871520813801155,17.77125355312704,18.658405634507155,-1.735984003590902,13.871567119706034,15.607551123296936,-1.3605399569872318,16.974942218622715,18.335482175609947,10
14.455975611072619,-1.5924769439635789,17.494856347589575,105.79414104068827,-0.9083794821205196,19.076515379254207,19.984894861374727,-1.3498442492774778,15.460495377646911,16.81033962692439,-1.5924769439635789,20.98053248329162,22.573009427255197,-0.8511246656627023,18.40417660607707,19.25530127173977,-1.5682177820790795,14.455975611072619,16.024193393151698,-1.345232864545217,17.416445583345848,18.761678447891065,11
